relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,(Senior) QA Automation Engineer (m/w/d)  (m/w/d),Hays Client,Raum Düsseldorf,On-site,Contract,"Ci/Cd, Javascript, Playwright","R, Azure, Senior, Devops",German,Senior,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-automation-engineer--raum-duesseldorf-889898/1,2026-08-17T10:42:05.967846+00:00
14,Tester | Germany,hays,Testmanager E2E-Testkoordination & Defect Management (m/w/d),Hays Client,Augsburg,On-site,Contract,Go,R,German,Test Manager,,06.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-e2e-testkoordination-defect-management-augsburg-889012/1,2026-08-17T10:42:05.968432+00:00
14,Tester | Germany,hays,Testmanager mit EAM Erfahrung (m/w/d),Hays Client,Frankfurt,On-site,Contract,,,German,Test Manager,,13.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-mit-eam-erfahrung-frankfurt-884856/1,2026-08-17T10:42:05.969871+00:00
14,Tester | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-08-17T10:42:05.970380+00:00
14,QA Engineer | Germany,hays,Interim (Senior) Product Manager Presbyopia Workflow and Usability Engineer (m/f/d),Hays Client,Bavaria,On-site,Contract,,"Senior, R",English,Senior,,17.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-interim-senior-product-manager-presbyopia-workflow-and-usability-engineer-bavaria-889343/1,2026-08-17T10:42:43.216248+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-08-17T10:42:43.216827+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-08-17T10:42:43.217370+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"Lead, R, Associate",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-08-17T10:42:43.217546+00:00
14,Test Engineer | Germany,hays,Lead Automation Development Engineer (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Lead, R",German,Lead,,03.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-automation-development-engineer-duesseldorf-888510/1,2026-08-17T10:43:11.065783+00:00
14,Test Engineer | Germany,hays,Senior Embedded Firmware Security Engineer (m/w/d),Hays Client,Fürstenfeldbruck,On-site,Contract,Firmware,Senior,German,Senior,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-firmware-security-engineer-fuerstenfeldbruck-884719/1,2026-08-17T10:43:11.066323+00:00
14,Test Engineer | Germany,hays,Senior Cyber Security Engineer (m/w/d),Hays Client,Frankfurt,On-site,Contract,,Senior,German,Senior,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cyber-security-engineer-frankfurt-877659/1,2026-08-17T10:43:11.066683+00:00
14,Test Engineer | Germany,hays,System Engineer / System Architect – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,"System Architect, Architect",German,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-08-17T10:43:11.067395+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"Senior, R",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-08-17T10:43:11.067761+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-08-17T10:43:42.307014+00:00
14,Test Automation | Germany,hays,IT Consultant - QA Manager & Agile PO Support ServiceNow (m/w/d),Hays Client,Neckarsulm,On-site,Contract,,"Consultant, R, Scrum, Kanban, Agile",German,Consultant,,17.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-consultant-qa-manager-agile-po-support-servicenow-neckarsulm-890376/1,2026-08-17T10:44:12.789360+00:00
14,Test Automation | Germany,hays,Azure Cloud & Security Architect (m/w/d) (m/w/d),Hays Client,Raum Düsseldorf,On-site,Contract,Ci/Cd,"Kubernetes, Architect, R, Azure, Devops",German,Architect,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-azure-cloud-security-architect-raum-duesseldorf-889897/1,2026-08-17T10:44:12.789968+00:00
14,Test Automation | Germany,hays,Security Experte im C5 Umfeld (m/w/d),Hays Client,Stuttgart,On-site,Contract,,"Devops, Expert, Azure, R",German,Expert,,21.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-experte-im-c5-umfeld-stuttgart-886640/1,2026-08-17T10:44:12.791008+00:00
14,Test Automation | Germany,hays,Lead Architect / Teamleiter IP/MPLS Design (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Lead, Team Lead, Architect, R",German,"Architect, Lead",,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-architect-teamleiter-ip-mpls-design-duesseldorf-886301/1,2026-08-17T10:44:12.791184+00:00
14,Test Automation | Germany,hays,Bauleiter Elektro (Schiffbau) (m/w/d),Hays Client,Norddeutschland,On-site,Contract,,"R, Freelancer",German,Freelancer,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauleiter-elektro-schiffbau-norddeutschland-883209/1,2026-08-17T10:44:12.791875+00:00
14,Python Developer | Germany,hays,"Senior Integration und Data Developer (Python, Django/FastAPI, IEC 60870-5-104) (m/w/d)",Hays Client,remote,Remote,Contract,Python,"Senior, Django, Fastapi",German,Senior,,14.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-integration-und-data-developer-python-django-fastapi-iec-60870-5-104-remote-890233/1,2026-08-17T10:44:47.096756+00:00
14,Python Developer | Germany,hays,Senior QT Quick Developer (m/w/d),Hays Client,Remote,Remote,Contract,,"Senior, Scrum",German,Senior,,14.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qt-quick-developer-remote-890163/1,2026-08-17T10:44:47.096949+00:00
