relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-08-17T11:13:39.118224+00:00
14,QA Engineer | Germany,gulp,AI Expert (m/f/d) Master Data Transformation,GULP Client,Germany,Remote,Freelance,"Chatgpt, Claude, Generative Ai, Prompt Engineering","Expert, Machine Learning",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323908,2026-08-17T11:14:31.783285+00:00
14,QA Engineer | Germany,gulp,Lead Architect AI Data Platform & GraphRAG (m/f/d) - 80% onsite,GULP Client,Location: Fulda,Remote,Freelance,,"Lead, Architect",English,"Architect, Lead",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01323247,2026-08-17T11:14:31.787960+00:00
14,QA Engineer | Germany,gulp,"IT - Solution Architect including Java, Spring, Kafka, REST, Camunda, BPMN, OAuth2, Test, etc. (f/m/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Java,"Solution Architect, Architect",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322962,2026-08-17T11:14:31.789058+00:00
14,QA Engineer | Germany,gulp,"Senior Database Migration Developer (SQL Anywhere on PostgreSQL) (f,m,d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Sql, Postgresql, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322651,2026-08-17T11:14:31.789947+00:00
14,Test Automation | Germany,gulp,"Senior Backend Developer (m/f/d) - Java17+, Spring Boot, PostgreSQL, TDD, Docker - predominantly remote",GULP Client,Location: Remote und Frankfurt,Remote,Freelance,,"Postgresql, Senior, Tdd, Spring Boot, Docker",German,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a82df25c72c703a51b280a4,2026-08-17T11:17:08.780104+00:00
14,Test Automation | Germany,gulp,"Senior Frontend Developer (m/f/d) - Java, Angular, PostgreSQL, TDD, Docker - predominantly remote",GULP Client,Location: Remote und Frankfurt,Remote,Freelance,Java,"Postgresql, Angular, Senior, Tdd, Docker",German,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a82df25c72c703a51b2809a,2026-08-17T11:17:08.780736+00:00
14,Test Automation | Germany,gulp,Senior Backend / Fullstack Developer (m/f/d) – Order-to-Cash Area,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322756,2026-08-17T11:17:08.782965+00:00
14,Test Automation | Germany,gulp,Senior / Intermediate Frontend Developer (m/f/d) – Angular & UX,GULP Client,"Location: Eschborn, Taunus",Remote,Freelance,,"Angular, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01322545,2026-08-17T11:17:08.783437+00:00
14,Test Automation | Germany,gulp,Senior Full Stack Developer (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320172,2026-08-17T11:17:08.784558+00:00
14,Test Automation | Germany,gulp,Senior Embedded Test & Automation Engineer (m/f/d) – VoIP / Telecommunication & HIL,GULP Client,Location: Düsseldorf,Remote,Freelance,Hil,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319367,2026-08-17T11:17:08.785145+00:00
