relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Fachlicher Testmanager (m/w/d) für unsere Abteilung Produktdesign und IT-Partnermanagement,XING Employer,Germany/Remote,Remote,Full-time,,R,German,Test Manager,,Recent,https://www.xing.com/jobs/muenchen-fachlicher-testmanager-abteilung-produktdesign-it-partnermanagement-157180310,2026-08-17T11:24:12.379110+00:00
14,Tester | Germany,xing,Embedded Software Test Engineer und Test Manager m/w/d,XING Employer,Germany/Remote,Remote,Full-time,,,German,Test Manager,,Recent,https://www.xing.com/jobs/aschheim-embedded-software-test-engineer-test-manager-156306066,2026-08-17T11:24:12.379250+00:00
14,QA Engineer | Germany,xing,Support Consultant (m/w/d) CS/QA,XING Employer,Germany/Remote,Remote,Full-time,,Consultant,English,Consultant,,Recent,https://www.xing.com/jobs/bautzen-support-consultant-cs-qa-156223384,2026-08-17T11:25:14.477179+00:00
14,Test Automation | Germany,xing,Testautomation Expert (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,Expert,English,Expert,,Recent,https://www.xing.com/jobs/hamburg-testautomation-expert-157272201,2026-08-17T11:28:15.980625+00:00
14,Firmware Engineer | Germany,xing,Senior Embedded Software Developer,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/hamburg-senior-embedded-software-developer-156968349,2026-08-17T11:31:17.840633+00:00
0,Tester | Germany,xing,Mobile Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,,English,,,Recent,https://www.xing.com/jobs/hamburg-mannheim-mobile-test-automation-engineer-157280612,2026-08-17T11:24:12.378900+00:00
0,Tester | Germany,xing,Baustoffentwickler im Technology & Test Center (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/neuenburg-rhein-baustoffentwickler-technology-test-center-156832834,2026-08-17T11:24:12.379026+00:00
0,Tester | Germany,xing,Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/paderborn-tester-156134882,2026-08-17T11:24:12.379486+00:00
0,Tester | Germany,xing,IT - Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/luebeck-it-tester-156134709,2026-08-17T11:24:12.379569+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/stuttgart-qa-engineer-157138321,2026-08-17T11:25:14.477426+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/w/d) Web & Mobile,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/wiesbaden-qa-engineer-web-mobile-154261136,2026-08-17T11:25:14.477504+00:00
