relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Berater für sevdesk-Einführung und cloudbasierte WaWi gesucht,Freelancermap Client,Germany,On-site,Freelance,,"R, Consultant",German,Consultant,,10:40,https://www.freelancermap.de/projekt/berater-fuer-sevdesk-einfuehrung-und-cloudbasierte-wawi-gesucht,2026-08-20T10:59:50.094431+00:00
14,Tester | Germany,freelancermap,Freelance Software Architect (m/w/d) mit KAJ-Expertise,Freelancermap Client,München Deutschland,On-site,Freelance,,Architect,German,Architect,,10:38,https://www.freelancermap.de/projekt/freelance-software-architect-m-w-d-mit-kaj-expertise,2026-08-20T10:59:50.094500+00:00
14,Tester | Germany,freelancermap,Data Quality Expert (m/f/n),Freelancermap Client,Ingelheim Deutschland,On-site,Freelance,,Expert,English,Expert,,10:17,https://www.freelancermap.de/projekt/data-quality-expert-m-f-n,2026-08-20T10:59:50.095003+00:00
14,Tester | Germany,freelancermap,Senior Data Quality Expert / Manager,Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,"Senior, Expert",English,"Expert, Senior",,10:14,https://www.freelancermap.de/projekt/senior-data-quality-expert-manager,2026-08-20T10:59:50.095128+00:00
14,Tester | Germany,freelancermap,Freelancer Transition Manager (w/m/d) – IT Provider & Service Management,Freelancermap Client,Rhein Main Deutschland,On-site,Freelance,,Freelancer,English,Freelancer,,10:10,https://www.freelancermap.de/projekt/freelancer-transition-manager-w-m-d-it-provider-und-service-management,2026-08-20T10:59:50.095200+00:00
0,Tester | Germany,freelancermap,DEKRA-Sachverständiger für Photovoltaikanlagen (m/w/d),Freelancermap Client,76530 Deutschland,On-site,Freelance,,R,English,,,18.08.2026,https://www.freelancermap.de/projekt/dekra-sachverstaendiger-fuer-photovoltaikanlagen-m-w-d,2026-08-20T10:59:50.093995+00:00
0,Tester | Germany,freelancermap,CTO / Mitunternehmer für Cloud-SaaS- und KI-basierte Safety & Security Engineering Plattform (Java),Freelancermap Client,Germany,On-site,Freelance,Java,R,German,,,18.08.2026,https://www.freelancermap.de/projekt/cto-mitunternehmer-fuer-cloud-saas-und-ki-basierte-safety-und-security-engineering-plattform-java,2026-08-20T10:59:50.094112+00:00
0,Tester | Germany,freelancermap,Fullstack-Entwickler GO+Typescript,Freelancermap Client,Tübingen Deutschland,On-site,Freelance,"Go, Typescript",,English,,,14.08.2026,https://www.freelancermap.de/projekt/fullstack-entwickler-go-typescript,2026-08-20T10:59:50.094197+00:00
0,Tester | Germany,freelancermap,HR Payroll Specialist - B2 German required,Freelancermap Client,berlin Deutschland,On-site,Freelance,,,English,,,10:45,https://www.freelancermap.de/projekt/hr-payroll-specialist-b2-german-required,2026-08-20T10:59:50.094274+00:00
0,Tester | Germany,freelancermap,"Frontend-Entwickler (React, Java, TypeScript) (m/w/d) 100% remote ID03201",Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,"Java, Typescript",React,English,,,10:44,https://www.freelancermap.de/projekt/frontend-entwickler-react-java-typescript-m-w-d-100-prozent-remote-id03201,2026-08-20T10:59:50.094354+00:00
0,Tester | Germany,freelancermap,3625 Projektmanager (m/w/d) SAP-/S/4HANA Remote/Stuttgart,Freelancermap Client,StuttgartRemote Deutschland,Remote,Freelance,,,English,,,10:32,https://www.freelancermap.de/projekt/3625-projektmanager-m-w-d-sap-s-4hana-remote-stuttgart,2026-08-20T10:59:50.094565+00:00
