relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Automation | Germany,gulp,"Senior Test Manager / QA Architect|Lead (m/f/d) –Test Automation, AI, SAFe & Cloud",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Test Automation,"Architect, Lead, Senior, Safe",English,"Architect, Lead, Senior, Test Manager",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01324955,2026-08-20T11:14:42.601411+00:00
14,Python Developer | Germany,gulp,"Senior SAP Logistics Integration Manager (m/f/d) - SAP EWM, SAP TM, SAP PP, S/4HANA",GULP Client,Location: Wolfsburg,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01326648,2026-08-20T11:15:32.969570+00:00
14,Python Developer | Germany,gulp,Remote Frankfurt: Part-time SAP RE-FX Consultant (m/f/d) POS77071s SAP Real Estate Management IS-RE,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86cb3444fa784fd94bf3c4,2026-08-20T11:15:32.970549+00:00
14,Python Developer | Germany,gulp,Broadband Consultant (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86c5afc49d83945a995b53,2026-08-20T11:15:32.971047+00:00
14,Python Developer | Germany,gulp,Senior Robotics Expert - Mobile Robotics / Quadrupedal Systems (m/f/d),GULP Client,Location: D8,Remote,Freelance,,"Expert, Senior",English,"Expert, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86c5adc49d83945a9959e8,2026-08-20T11:15:32.971442+00:00
14,Python Developer | Germany,gulp,Senior Embedded LinuxDeveloperin the field of LLRP (ARM SoC) (m/f/d),GULP Client,Location: Remote,Remote,Freelance,Arm,"Soc, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ade644fa784fd94b93e8,2026-08-20T11:15:32.975565+00:00
14,Python Test | Germany,gulp,SAP IS-U Consultant (m/f/d) Measurement & Equipment - remote/Dortmund,GULP Client,Location: remote/Dortmund,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86cce244fa784fd94c06de,2026-08-20T11:16:25.510857+00:00
14,Python Test | Germany,gulp,Linux system administration - Linux &amp; Automation Specialist (m/f/d),GULP Client,Germany,On-site,Freelance,Can,"Ansible, Docker, Linux, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86addf44fa784fd94b8b54,2026-08-20T11:16:25.515836+00:00
14,Python Test | Germany,gulp,Technical Project Manager / Mobile App Project Manager (m/f/d),GULP Client,Germany,Remote,Freelance,,"Expert, Architect, Project Manager",English,"Architect, Expert",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86addb44fa784fd94b8609,2026-08-20T11:16:25.516296+00:00
0,Tester | Germany,gulp,Electrical Engineer (m/f/d),GULP Client,Location: D5,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ad7944fa784fd94b0685,2026-08-20T11:11:16.796990+00:00
0,Tester | Germany,gulp,Electrical Engineer (m/f/d),GULP Client,Location: D5,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ad7744fa784fd94b03ab,2026-08-20T11:11:16.797465+00:00
0,Tester | Germany,gulp,Test engineerin the field of electrical drive technology (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a86ad3144fa784fd94aad5a,2026-08-20T11:11:16.797896+00:00
