relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Pricing Data and Process Consultant (m/w/d),Hays Client,Hamburg,On-site,Contract,,Consultant,German,Consultant,,18.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pricing-data-and-process-consultant-hamburg-890534/1,2026-08-24T10:46:12.227340+00:00
14,Tester | Germany,hays,Testmanager (m/w/d)  (m/w/d),Hays Client,Essen,On-site,Contract,,R,German,Test Manager,,14.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--essen-890170/1,2026-08-24T10:46:12.227866+00:00
14,Tester | Germany,hays,(Senior) QA Automation Engineer (m/w/d)  (m/w/d),Hays Client,Raum Düsseldorf,On-site,Contract,"Ci/Cd, Javascript, Playwright","Azure, Devops, Senior, R",German,Senior,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-automation-engineer--raum-duesseldorf-889898/1,2026-08-24T10:46:12.228103+00:00
14,Tester | Germany,hays,Testmanager E2E-Testkoordination & Defect Management (m/w/d),Hays Client,Augsburg,On-site,Contract,Go,R,German,Test Manager,,06.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-e2e-testkoordination-defect-management-augsburg-889012/1,2026-08-24T10:46:12.228793+00:00
14,Tester | Germany,hays,Software-Testmanager (m/w/d),Hays Client,Erlangen,On-site,Contract,Test Automation,,German,Test Manager,,03.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-testmanager-erlangen-888545/1,2026-08-24T10:46:12.229234+00:00
14,Tester | Germany,hays,Testmanager mit EAM Erfahrung (m/w/d),Hays Client,Frankfurt,On-site,Contract,,,German,Test Manager,,13.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-mit-eam-erfahrung-frankfurt-884856/1,2026-08-24T10:46:12.230122+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Expert, Jira",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-08-24T10:46:12.231420+00:00
14,QA Engineer | Germany,hays,Interim (Senior) Product Manager Presbyopia Workflow and Usability Engineer (m/f/d),Hays Client,Bavaria,On-site,Contract,,"R, Senior",English,Senior,,17.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-interim-senior-product-manager-presbyopia-workflow-and-usability-engineer-bavaria-889343/1,2026-08-24T10:46:41.838108+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-08-24T10:46:41.838791+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-08-24T10:46:41.839454+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"R, Lead, Associate",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-08-24T10:46:41.839677+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer DevSecOps (m/w/d),Hays Client,Bayern,On-site,Contract,,Senior,German,Senior,,17.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-devsecops-bayern-890426/1,2026-08-24T10:47:15.026684+00:00
14,Test Engineer | Germany,hays,Lead Automation Development Engineer (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"R, Lead",German,Lead,,03.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-automation-development-engineer-duesseldorf-888510/1,2026-08-24T10:47:15.027851+00:00
14,Test Engineer | Germany,hays,Senior Embedded Firmware Security Engineer (m/w/d),Hays Client,Fürstenfeldbruck,On-site,Contract,Firmware,Senior,German,Senior,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-firmware-security-engineer-fuerstenfeldbruck-884719/1,2026-08-24T10:47:15.028516+00:00
14,Test Engineer | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-08-24T10:47:15.029180+00:00
14,Test Engineer | Germany,hays,System Engineer / System Architect – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,"Architect, System Architect",German,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-08-24T10:47:15.029635+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"R, Senior",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-08-24T10:47:15.030316+00:00
14,Test Automation | Germany,hays,IT Consultant - QA Manager & Agile PO Support ServiceNow (m/w/d),Hays Client,Neckarsulm,On-site,Contract,,"Kanban, Scrum, Agile, Consultant, R",German,Consultant,,17.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-consultant-qa-manager-agile-po-support-servicenow-neckarsulm-890376/1,2026-08-24T10:48:12.954340+00:00
14,Test Automation | Germany,hays,Azure Cloud & Security Architect (m/w/d) (m/w/d),Hays Client,Raum Düsseldorf,On-site,Contract,Ci/Cd,"Azure, Devops, Kubernetes, R, Architect",German,Architect,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-azure-cloud-security-architect-raum-duesseldorf-889897/1,2026-08-24T10:48:12.955073+00:00
14,Test Automation | Germany,hays,Security Experte im C5 Umfeld (m/w/d),Hays Client,Stuttgart,On-site,Contract,,"R, Devops, Expert, Azure",German,Expert,,21.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-experte-im-c5-umfeld-stuttgart-886640/1,2026-08-24T10:48:12.956408+00:00
14,Test Automation | Germany,hays,Lead Architect / Teamleiter IP/MPLS Design (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"R, Lead, Architect, Team Lead",German,"Architect, Lead",,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-architect-teamleiter-ip-mpls-design-duesseldorf-886301/1,2026-08-24T10:48:12.956639+00:00
14,Test Automation | Germany,hays,Senior Cyber Security Engineer (m/w/d),Hays Client,Frankfurt,On-site,Contract,,Senior,German,Senior,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cyber-security-engineer-frankfurt-877659/1,2026-08-24T10:48:12.957304+00:00
