relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior X4 Engineer (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,Senior,English,Senior,,25.08.2026,https://www.freelancermap.de/projekt/senior-x4-engineer-m-w-d-3039688,2026-08-27T20:34:57.468814+00:00
14,Tester | Germany,freelancermap,IT Firewall Architekt (m/w/d) – MPLS & Netzwerksicherheit (m/w/d),Freelancermap Client,Berlin Dresden Leipzig Deutschland,On-site,Freelance,,Architect,English,Architect,,19.05.2026,https://www.freelancermap.de/projekt/it-firewall-architekt-m-w-d-mpls-und-netzwerksicherheit-m-w-d,2026-08-27T20:34:57.468953+00:00
14,Tester | Germany,freelancermap,Freelancer für KI-gestützte Website-Erstellung & SEO (White Label),Freelancermap Client,Germany,On-site,Freelance,,"Freelancer, R",English,Freelancer,,24.08.2026,https://www.freelancermap.de/projekt/freelancer-fuer-ki-gestuetzte-website-erstellung-und-seo-white-label,2026-08-27T20:34:57.469112+00:00
14,Tester | Germany,freelancermap,Senior Process Engineer Spritzguss (m/w/d),Freelancermap Client,Großraum Ravensburg/ Bodensee Deutschland,On-site,Freelance,,Senior,English,Senior,,19:09,https://www.freelancermap.de/projekt/senior-process-engineer-spritzguss-m-w-d,2026-08-27T20:34:57.469521+00:00
14,Tester | Germany,freelancermap,Experte Marktkommunikation und Bilanzierung Strom - SAP IS-U und Robotron eCount (m/w/d),Freelancermap Client,Baden-Württemberg Deutschland,On-site,Freelance,,Expert,German,Expert,,19:09,https://www.freelancermap.de/projekt/experte-marktkommunikation-und-bilanzierung-strom-sap-is-u-und-robotron-ecount-m-w-d,2026-08-27T20:34:57.470244+00:00
14,Tester | Germany,freelancermap,Solidity Developer/Architekt (m/w/d),Freelancermap Client,Frankfurt  Deutschland,On-site,Freelance,,Architect,English,Architect,,19:08,https://www.freelancermap.de/projekt/solidity-developer-architekt-m-w-d,2026-08-27T20:34:57.470751+00:00
14,Tester | Germany,freelancermap,Berater Corporate Security / Objektsicherheit (m/w/d),Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,Consultant,English,Consultant,,19:08,https://www.freelancermap.de/projekt/berater-corporate-security-objektsicherheit-m-w-d,2026-08-27T20:34:57.470872+00:00
14,Tester | Germany,freelancermap,SAP Application Consultant (m/w/d),Freelancermap Client,Großraum Aalen Deutschland,On-site,Freelance,,Consultant,English,Consultant,,19:08,https://www.freelancermap.de/projekt/sap-application-consultant-m-w-d-3041200,2026-08-27T20:34:57.470989+00:00
14,Tester | Germany,freelancermap,Experte Kabelbaum-Entwicklung Robotik (m/w/d),Hays AG,Baden-Württemberg Deutschland,On-site,Freelance,,"R, Expert",German,Expert,,19:08,https://www.freelancermap.de/projekt/experte-kabelbaum-entwicklung-robotik-m-w-d,2026-08-27T20:34:57.471118+00:00
0,Tester | Germany,freelancermap,Freelance Immobilienberater / Kundenbetreuung & Objektsuche – Rhein-Main,Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,,English,,,23.08.2026,https://www.freelancermap.de/projekt/freelance-immobilienberater-kundenbetreuung-und-objektsuche-rhein-main,2026-08-27T20:34:57.468642+00:00
0,Tester | Germany,freelancermap,Fullstack-Entwickler GO+Typescript,Freelancermap Client,Tübingen Deutschland,On-site,Freelance,"Go, Typescript",,English,,,14.08.2026,https://www.freelancermap.de/projekt/fullstack-entwickler-go-typescript,2026-08-27T20:34:57.469257+00:00
