relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","Expert, Nunit, R, Senior, C#",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-08-31T18:35:31.820283+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-08-31T18:35:31.826782+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-08-31T18:35:31.828149+00:00
14,Tester | Germany,ferchau,Testanalyst Informatik (m/w/d),FERCHAU,Ober­ko­chen Deut­sch­land,Hybrid,Full-time,,"Jira, Expert, Zephyr, R, Agile, Scrum, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/514372/testanalyst-informatik,2026-08-31T18:35:31.832691+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Expert, R, Scrum, Kanban, Testng, Junit",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-08-31T18:35:31.834894+00:00
14,QA Engineer | Germany,ferchau,Testmanager IT / OT (m/w/d),FERCHAU,Ober­ko­chen Deut­sch­land,Hybrid,Full-time,"C, Python","Jira, Devops, Expert, R, Azure, Scrum, C#",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/517789/testmanager-it-ot,2026-08-31T18:35:41.845318+00:00
14,Test Engineer | Germany,ferchau,Software Integration & Test Engineer (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,Embedded Systems,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/509590/software-integration-test-engineer,2026-08-31T18:35:51.924248+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Expert, R, Scrum, Kanban, C#, Git",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-08-31T18:35:51.925215+00:00
14,Test Automation | Germany,ferchau,Avionics Specialist (m/w/d) für AIRBUS Defence & Space,FERCHAU,Manching Deut­sch­land,Vor Ort,Full-time,"C, C++, Embedded Systems, Python","Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/516334/avionics-specialist-fuer-airbus-defence-space,2026-08-31T18:36:11.871523+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,Senior,German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-08-31T18:36:11.875120+00:00
14,Test Automation | Germany,ferchau,Senior Test Automation Engineer (m/w/d),FERCHAU,Wuppertal Deut­sch­land,Vor Ort,Full-time,Test Automation,Senior,English,Senior,,Recent,https://touch.ferchau.com/de/de/job/512713/senior-test-automation-engineer,2026-08-31T18:36:11.878908+00:00
