relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","C#, Expert, R, Senior, Nunit",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-09-07T16:49:20.447501+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-09-07T16:49:20.448826+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-09-07T16:49:20.449464+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d) Testautomatisierung für die Siemens AG,FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Test Automation","C#, Expert, R, Senior",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/445087/senior-softwaretester-testautomatisierung-fuer-die-siemens-ag,2026-09-07T16:49:20.450857+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Scrum, Expert, R, Cucumber, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-09-07T16:49:29.191250+00:00
14,QA Engineer | Germany,ferchau,Testmanager IT / OT (m/w/d),FERCHAU,Ober­ko­chen Deut­sch­land,Hybrid,Full-time,"C, Python","Devops, Scrum, C#, Expert, R, Jira, Azure",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/517789/testmanager-it-ot,2026-09-07T16:49:29.197316+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Systemintegration & Verifikation Luftfahrt (m/w/d),FERCHAU,Wedel Deut­sch­land,Remote,Full-time,,"R, Expert, Canoe, Matlab",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/515752/testingenieur-systemintegration-verifikation-luftfahrt,2026-09-07T16:49:49.624935+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-09-07T16:49:49.627221+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445054/testingenieur-medizintechnik,2026-09-07T16:49:49.628619+00:00
14,Test Automation | Germany,ferchau,Avionics Specialist (m/w/d) für AIRBUS Defence & Space,FERCHAU,Manching Deut­sch­land,Vor Ort,Full-time,"C, C++, Embedded Systems, Python","Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/516334/avionics-specialist-fuer-airbus-defence-space,2026-09-07T16:50:00.361551+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"R, Senior",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-09-07T16:50:00.363931+00:00
14,Test Automation | Germany,ferchau,Senior Test Automation Engineer (m/w/d),FERCHAU,Wuppertal Deut­sch­land,Vor Ort,Full-time,"Ci/Cd, Python, Test Automation","Git, Gitlab, Expert, R, Senior, Linux, Jira",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/512713/senior-test-automation-engineer,2026-09-07T16:50:00.368331+00:00
14,Python Developer | Germany,ferchau,Junior Application Developer (m/f/d),FERCHAU,Gdańsk Poland,Hybrid,Full-time,"Ci/Cd, Java, Python","Sql, Git, Scrum, Angular, Junior, Agile, Senior, Kanban, Nosql, Jira",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/515746/junior-application-developer,2026-09-07T16:50:10.372964+00:00
14,Firmware Engineer | Germany,ferchau,Systemarchitekt Leistungselektronik (m/w/d),FERCHAU,Detmold Deut­sch­land,Hybrid,Full-time,,System Architect,English,System Architect,,Recent,https://touch.ferchau.com/de/de/job/513073/systemarchitekt-leistungselektronik,2026-09-07T16:50:28.408347+00:00
14,Firmware Engineer | Germany,ferchau,Senior Softwareingenieur FPGA / VHDL (m/w/d),FERCHAU,Ulm Deut­sch­land,Remote,Full-time,Embedded Systems,"Fpga, Expert, Vhdl, R, Senior",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/488167/senior-softwareingenieur-fpga-vhdl,2026-09-07T16:50:28.411362+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-09-07T16:49:20.445512+00:00
0,Tester | Germany,ferchau,Software-Tester IT (m/w/d),FERCHAU,Erlangen Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/515077/software-tester-it,2026-09-07T16:49:20.446563+00:00
0,Tester | Germany,ferchau,Softwaretester HiL (m/w/d),FERCHAU,Bremen Deut­sch­land,Remote,Full-time,Hil,,English,,,Recent,https://touch.ferchau.com/de/de/job/517570/softwaretester-hil,2026-09-07T16:49:20.448258+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Biele­feld Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/186741/softwaretester,2026-09-07T16:49:20.450158+00:00
0,Tester | Germany,ferchau,Elektriker (m/w/d),FERCHAU,Marburg Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/477022/elektriker,2026-09-07T16:49:20.451447+00:00
0,Tester | Germany,ferchau,Validierungsingenieur Embedded Linux (m/w/d),FERCHAU,Markto­ber­dorf Deut­sch­land,Remote,Full-time,Embedded Linux,Linux,English,,,Recent,https://touch.ferchau.com/de/de/job/519262/validierungsingenieur-embedded-linux,2026-09-07T16:49:20.452414+00:00
0,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Kramsach Öster­reich,Vor Ort,Full-time,Test Automation,,English,,,Recent,https://touch.ferchau.com/de/de/job/513997/test-automation-engineer,2026-09-07T16:49:29.193669+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer - Shipbuilding (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/482239/hull-structural-designer-shipbuilding,2026-09-07T16:49:29.195490+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/461695/hull-structural-designer,2026-09-07T16:49:29.198204+00:00
0,QA Engineer | Germany,ferchau,DevOps Engineer (m/w/d) Cloud & Mobile Platforms,FERCHAU,Nürn­berg Deut­sch­land,Remote,Full-time,"Bash, Ci/Cd, Github Actions, Jenkins, Python","Gitlab Ci, Devops, Gitlab, Docker, Agile, R, Argocd, Github, Azure",German,,,Recent,https://touch.ferchau.com/de/de/job/488962/devops-engineer-cloud-mobile-platforms,2026-09-07T16:49:29.199121+00:00
0,QA Engineer | Germany,ferchau,EMSR-Techniker Pharma (m/w/d),FERCHAU,Ingel­heim am Rhein Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/510256/emsr-techniker-pharma,2026-09-07T16:49:29.200562+00:00
0,Test Engineer | Germany,ferchau,Testautomatisation Engineer für Secure Communications (m/w/d),FERCHAU,Trun­kels­berg Deut­sch­land,Vor Ort,Full-time,,R,English,,,Recent,https://touch.ferchau.com/de/de/job/517837/testautomatisation-engineer-fuer-secure-communications,2026-09-07T16:49:39.923571+00:00
