relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Python Test | Switzerland,linkedin,"Senior Software Engineer, Network System Validation",NVIDIA,"Zurich, Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-network-system-validation-at-nvidia-4464143614,2026-09-10T14:11:45.938159+00:00
44,Firmware Engineer | Austria,linkedin,Senior Embedded Crypto Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-crypto-software-developer-m-f-d-at-nxp-semiconductors-4431898495,2026-09-10T14:12:05.336737+00:00
44,Firmware Engineer | Austria,linkedin,Principal Embedded Crypto Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,,Principal,English,Principal,,Recent,https://at.linkedin.com/jobs/view/principal-embedded-crypto-software-developer-m-f-d-at-nxp-semiconductors-4411407549,2026-09-10T14:12:05.337040+00:00
44,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer – Railway Signaling Systems On-Board,Siemens,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-%E2%80%93-railway-signaling-systems-on-board-at-siemens-4456016516,2026-09-10T14:12:12.494321+00:00
44,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Siemens,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-siemens-4446795747,2026-09-10T14:12:12.494496+00:00
29,Tester | Slovakia,linkedin,Tester s nemeckým jazykom (ž/m),Siemens,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/tester-s-nemeck%C3%BDm-jazykom-%C5%BE-m-at-siemens-4423952200,2026-09-10T14:09:39.765240+00:00
29,Tester | Slovakia,linkedin,Test Design Professional for product Velocity,Siemens Healthineers,"Košice, Kosice, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-design-professional-for-product-velocity-at-siemens-healthineers-4455889406,2026-09-10T14:09:39.765573+00:00
29,QA Engineer | USA,linkedin,"Software Quality Assurance Engineer, Fire Tablet Launcher Team",Amazon,"Seattle, WA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-quality-assurance-engineer-fire-tablet-launcher-team-at-amazon-4455906458,2026-09-10T14:10:08.749314+00:00
29,Test Engineer | USA,linkedin,Test Engineer-Mid,"Cintel, Inc.","Huntsville, AL",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/test-engineer-mid-at-cintel-inc-4462082051,2026-09-10T14:10:30.646290+00:00
29,Test Engineer | USA,linkedin,Quality Assurance Engineer II - AMZ27490.1,Amazon,"Herndon, VA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-engineer-ii-amz27490-1-at-amazon-4455797482,2026-09-10T14:10:30.647228+00:00
29,Testingenieur | Slovakia,linkedin,Test inžinier pre vývoj elektronických systémov (ž/m),Siemens,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-in%C5%BEinier-pre-v%C3%BDvoj-elektronick%C3%BDch-syst%C3%A9mov-%C5%BE-m-at-siemens-4445738791,2026-09-10T14:10:45.193423+00:00
