relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior Fullstack Entwickler (m/w/d) - Wertpapierhandel | Frankfurt | Befristete Festanstellung,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,Senior,English,Senior,,25.08.2026,https://www.freelancermap.de/projekt/senior-fullstack-entwickler-m-w-d-wertpapierhandel-frankfurt-befristete-festanstellung-3039586,2026-09-10T14:33:55.155142+00:00
14,Tester | Germany,freelancermap,Freelancer für Finance (m/w/d) Fakturierung & Abrechnungsfehler,Freelancermap Client,München Deutschland,On-site,Freelance,,"R, Freelancer",English,Freelancer,,08.09.2026,https://www.freelancermap.de/projekt/freelancer-fuer-finance-m-w-d-fakturierung-und-abrechnungsfehler,2026-09-10T14:33:55.155418+00:00
14,Tester | Germany,freelancermap,Freelancer – Versand & Verpackung (m/w/d),Freelancermap Client,München Deutschland,On-site,Freelance,,Freelancer,English,Freelancer,,08.09.2026,https://www.freelancermap.de/projekt/freelancer-versand-und-verpackung-m-w-d,2026-09-10T14:33:55.155499+00:00
14,Tester | Germany,freelancermap,Senior PPM /PMO (m/w/d) – Luxemburg,Freelancermap Client,Trier Deutschland,On-site,Freelance,,Senior,English,Senior,,09.09.2026,https://www.freelancermap.de/projekt/senior-ppm-pmo-m-w-d-luxemburg-3045648,2026-09-10T14:33:55.155580+00:00
14,Tester | Germany,freelancermap,Senior Business Analyst / SME – German Investment Fund Accounting Migration (m/w/d),Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,Senior,English,Senior,,09.09.2026,https://www.freelancermap.de/projekt/senior-business-analyst-sme-german-investment-fund-accounting-migration-m-w-d,2026-09-10T14:33:55.155669+00:00
14,Tester | Germany,freelancermap,CSV Lead/Manager / Compliance Consultant - S/4HANA (w/m/d) -  ab sofort I Vollzeit I remote,Freelancermap Client,remote Deutschland,Remote,Freelance,,"Consultant, Lead",English,"Consultant, Lead",,14:33,https://www.freelancermap.de/projekt/csv-lead-manager-compliance-consultant-s-4hana-w-m-d-ab-sofort-i-vollzeit-i-remote,2026-09-10T14:33:55.155831+00:00
14,Tester | Germany,freelancermap,Remote: SAP RISE Public Cloud Berater – Internationaler Two-Tier-Rollout (m/w/d),Freelancermap Client,bonn Deutschland,Remote,Freelance,,Consultant,English,Consultant,,14:31,https://www.freelancermap.de/projekt/remote-sap-rise-public-cloud-berater-internationaler-two-tier-rollout-m-w-d,2026-09-10T14:33:55.155995+00:00
14,Tester | Germany,freelancermap,Senior Industrial Engineer (m/w/d),Freelancermap Client,Ulm Deutschland,On-site,Freelance,,Senior,English,Senior,,14:30,https://www.freelancermap.de/projekt/senior-industrial-engineer-m-w-d,2026-09-10T14:33:55.156069+00:00
14,Tester | Germany,freelancermap,CSV Lead / Compliance Consultant - S/4HANA (w/m/d) - ab sofort I Vollzeit I remote,Freelancermap Client,remote Deutschland,Remote,Freelance,,"Consultant, Lead",English,"Consultant, Lead",,14:30,https://www.freelancermap.de/projekt/csv-lead-compliance-consultant-s-4hana-w-m-d-ab-sofort-i-vollzeit-i-remote,2026-09-10T14:33:55.156150+00:00
14,Tester | Germany,freelancermap,Senior SAP Prozess- und Strategieberater (m/w/d) – AFRA-11025,Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,Senior,German,Senior,,14:27,https://www.freelancermap.de/projekt/senior-sap-prozess-und-strategieberater-m-w-d-afra-11025-3046398,2026-09-10T14:33:55.156226+00:00
14,Tester | Germany,freelancermap,Senior Data Architect (m/w/d) – AFRA-11033,Freelancermap Client,Frankfurt Deutschland,On-site,Freelance,,"Architect, Senior",English,"Architect, Senior",,14:22,https://www.freelancermap.de/projekt/senior-data-architect-m-w-d-afra-11033,2026-09-10T14:33:55.156452+00:00
14,Testingenieur | Germany,freelancermap,Senior IT-Projektmanager / DMS-Einführung (m/w/d),Freelancermap Client,Mönchengladbach Deutschland,On-site,Freelance,,Senior,English,Senior,,14:37,https://www.freelancermap.de/projekt/senior-it-projektmanager-dms-einfuehrung-m-w-d,2026-09-10T14:37:25.903208+00:00
