relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","R, Nunit, Senior, C#, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-09-10T15:11:14.071287+00:00
14,Tester | Germany,ferchau,Softwareingenieur Informatik (m/w/d),FERCHAU,Bremen Deut­sch­land,Remote,Full-time,"C, C++, Ci/Cd, Embedded Systems, Java, Jenkins, Pytest, Python","R, Kanban, Gitlab, Scrum, Gitlab Ci, Junit, Git, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/519832/softwareingenieur-informatik,2026-09-10T15:11:14.075165+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","R, Kanban, Scrum, Cucumber, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-09-10T15:11:23.447409+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Kramsach Öster­reich,Vor Ort,Full-time,"Ci/Cd, Python, Test Automation","Bdd, R, Tdd, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/513997/test-automation-engineer,2026-09-10T15:11:23.449294+00:00
14,QA Engineer | Germany,ferchau,Testmanager IT / OT (m/w/d),FERCHAU,Ober­ko­chen Deut­sch­land,Hybrid,Full-time,"C, Python","Azure, R, Jira, Devops, C#, Scrum, Expert",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/517789/testmanager-it-ot,2026-09-10T15:11:23.451627+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","R, Kanban, C#, Scrum, Git, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-09-10T15:11:32.619869+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-09-10T15:11:42.408575+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"R, Senior",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-09-10T15:11:52.991265+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"R, Junior, Sql, Linux, Nosql, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-09-10T15:12:03.225714+00:00
14,Python Developer | Germany,ferchau,Junior Application Developer (m/f/d),FERCHAU,Gdańsk Poland,Hybrid,Full-time,"Ci/Cd, Java, Python","Angular, Agile, Jira, Kanban, Junior, Sql, Scrum, Nosql, Git, Senior",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/515746/junior-application-developer,2026-09-10T15:12:03.230420+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Neubran­den­burg Deut­sch­land,Hybrid,Full-time,"C, C++, Python",R,German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/294622/softwaretester,2026-09-10T15:12:13.398084+00:00
14,Firmware Engineer | Germany,ferchau,Systemarchitekt Leistungselektronik (m/w/d),FERCHAU,Detmold Deut­sch­land,Hybrid,Full-time,,System Architect,English,System Architect,,Recent,https://touch.ferchau.com/de/de/job/513073/systemarchitekt-leistungselektronik,2026-09-10T15:12:22.890144+00:00
14,Firmware Engineer | Germany,ferchau,Senior Softwareingenieur FPGA / VHDL (m/w/d),FERCHAU,Ulm Deut­sch­land,Remote,Full-time,Embedded Systems,"R, Fpga, Vhdl, Senior, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/488167/senior-softwareingenieur-fpga-vhdl,2026-09-10T15:12:22.894213+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-09-10T15:11:14.068720+00:00
0,Tester | Germany,ferchau,Software-Tester IT (m/w/d),FERCHAU,Erlangen Deut­sch­land,Vor Ort,Full-time,"C, C++, Python","R, Linux, Git",German,,,Recent,https://touch.ferchau.com/de/de/job/515077/software-tester-it,2026-09-10T15:11:14.070076+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-09-10T15:11:14.072145+00:00
