relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager im Versicherungswesen (m/w/d),Hays Client,Münster,On-site,Contract,Robot Framework,Jira,German,Test Manager,,19.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-im-versicherungswesen-muenster-890413/1,2026-09-14T16:21:08.913690+00:00
14,Tester | Germany,hays,(Senior) QA Automation Engineer (m/w/d)  (m/w/d),Hays Client,Raum Düsseldorf,On-site,Contract,"Ci/Cd, Javascript, Playwright","Devops, Azure, Senior, R",German,Senior,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-automation-engineer--raum-duesseldorf-889898/1,2026-09-14T16:21:08.913870+00:00
14,Tester | Germany,hays,Testmanager E2E-Testkoordination & Defect Management (m/w/d),Hays Client,Augsburg,On-site,Contract,Go,R,German,Test Manager,,06.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-e2e-testkoordination-defect-management-augsburg-889012/1,2026-09-14T16:21:08.914247+00:00
14,Tester | Germany,hays,Software-Testmanager (m/w/d),Hays Client,Erlangen,On-site,Contract,Test Automation,,German,Test Manager,,03.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-testmanager-erlangen-888545/1,2026-09-14T16:21:08.914584+00:00
14,Tester | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-09-14T16:21:08.915789+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Jira, Expert",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-09-14T16:21:08.916302+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-09-14T16:21:34.723494+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-09-14T16:21:34.723840+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"Lead, R, Associate",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-09-14T16:21:34.724011+00:00
14,Test Engineer | Germany,hays,Senior Construction Safety Engineer (m/w/d),Hays Client,Süddeutschland,On-site,Contract,,Senior,German,Senior,,11.09.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-construction-safety-engineer-sueddeutschland-890714/1,2026-09-14T16:21:58.928258+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer .NET (m/w/d),Hays Client,Hannover,On-site,Contract,Go,"Scrum, Kanban, Senior, R",German,Senior,,10.09.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-net-hannover-893765/1,2026-09-14T16:21:58.928465+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer OTA (m/w/d),Hays Client,Stuttgart,On-site,Contract,Python,"Senior, R",German,Senior,,24.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer-ota-stuttgart-891300/1,2026-09-14T16:21:58.929699+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer DevSecOps (m/w/d),Hays Client,Bayern,On-site,Contract,,Senior,German,Senior,,17.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-devsecops-bayern-890426/1,2026-09-14T16:21:58.929867+00:00
14,Test Engineer | Germany,hays,Senior Embedded Firmware Security Engineer (m/w/d),Hays Client,Fürstenfeldbruck,On-site,Contract,Firmware,Senior,German,Senior,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-firmware-security-engineer-fuerstenfeldbruck-884719/1,2026-09-14T16:21:58.930904+00:00
