relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,(Senior) QA Automation Engineer (m/w/d)  (m/w/d),Hays Client,Raum Düsseldorf,On-site,Contract,"Ci/Cd, Javascript, Playwright","Senior, Azure, Devops, R",German,Senior,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-qa-automation-engineer--raum-duesseldorf-889898/1,2026-09-17T14:53:22.044624+00:00
14,Tester | Germany,hays,Testmanager E2E-Testkoordination & Defect Management (m/w/d),Hays Client,Augsburg,On-site,Contract,Go,R,German,Test Manager,,06.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-e2e-testkoordination-defect-management-augsburg-889012/1,2026-09-17T14:53:22.045176+00:00
14,Tester | Germany,hays,Software-Testmanager (m/w/d),Hays Client,Erlangen,On-site,Contract,Test Automation,,German,Test Manager,,03.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-testmanager-erlangen-888545/1,2026-09-17T14:53:22.045714+00:00
14,Tester | Germany,hays,(Senior) Test Automation Engineer – Frontend & API Testing (m/w/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer--frontend-api-testing-berlin-882447/1,2026-09-17T14:53:22.047164+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Jira, Expert",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-09-17T14:53:22.047979+00:00
14,QA Engineer | Germany,hays,(Senior) Software Engineer – Fullstack (m/w/d),Hays Client,Berlin,On-site,Contract,,Senior,German,Senior,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer--fullstack-berlin-882443/1,2026-09-17T14:53:53.239354+00:00
14,QA Engineer | Germany,hays,Project Engineer - CAPEX (m/f/d),Hays Client,Visp,On-site,Contract,,Lead,English,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-capex-visp-877914/1,2026-09-17T14:53:53.239887+00:00
14,QA Engineer | Germany,hays,C&Q Execution Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,C,"Associate, R, Lead",German,Lead,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-c-q-execution-engineer-basel-land-877864/1,2026-09-17T14:53:53.240162+00:00
14,Test Engineer | Germany,hays,Senior Construction Safety Engineer (m/w/d),Hays Client,Süddeutschland,On-site,Contract,,Senior,German,Senior,,11.09.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-construction-safety-engineer-sueddeutschland-890714/1,2026-09-17T14:54:34.750858+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer .NET (m/w/d),Hays Client,Hannover,On-site,Contract,Go,"Senior, Scrum, Kanban, R",German,Senior,,10.09.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-net-hannover-893765/1,2026-09-17T14:54:34.751174+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer OTA (m/w/d),Hays Client,Stuttgart,On-site,Contract,Python,"R, Senior",German,Senior,,24.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer-ota-stuttgart-891300/1,2026-09-17T14:54:34.752730+00:00
14,Test Engineer | Germany,hays,Lead Automation Development Engineer (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Lead, R",German,Lead,,03.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-automation-development-engineer-duesseldorf-888510/1,2026-09-17T14:54:34.753762+00:00
14,Test Engineer | Germany,hays,Senior Embedded Firmware Security Engineer (m/w/d),Hays Client,Fürstenfeldbruck,On-site,Contract,Firmware,Senior,German,Senior,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-firmware-security-engineer-fuerstenfeldbruck-884719/1,2026-09-17T14:54:34.754583+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"R, Senior",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-09-17T14:54:34.755383+00:00
14,Testingenieur | Germany,hays,Verification Engineer / Testingenieur (m/w/d),Hays Client,Großröhrsdorf,On-site,Contract,,"Lead, R",German,Lead,,25.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-verification-engineer-testingenieur-grossroehrsdorf-891495/1,2026-09-17T14:55:14.901565+00:00
14,Test Automation | Germany,hays,IT Consultant - QA Manager & Agile PO Support ServiceNow (m/w/d),Hays Client,Neckarsulm,On-site,Contract,,"Scrum, Kanban, R, Consultant, Agile",German,Consultant,,17.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-consultant-qa-manager-agile-po-support-servicenow-neckarsulm-890376/1,2026-09-17T14:55:41.901675+00:00
14,Test Automation | Germany,hays,Lead Architect / Teamleiter IP/MPLS Design (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Lead, R, Architect, Team Lead",German,"Architect, Lead",,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-architect-teamleiter-ip-mpls-design-duesseldorf-886301/1,2026-09-17T14:55:41.903513+00:00
14,Test Automation | Germany,hays,Bauleiter Elektro (Schiffbau) (m/w/d),Hays Client,Norddeutschland,On-site,Contract,,"R, Freelancer",German,Freelancer,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauleiter-elektro-schiffbau-norddeutschland-883209/1,2026-09-17T14:55:41.904289+00:00
14,Python Developer | Germany,hays,Senior Python Energy Trading Developer (Project setup requires service delivery from a nearshore country) (m/f/d),Hays Client,remote,Remote,Contract,Python,Senior,English,Senior,,11.09.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-energy-trading-developer-project-setup-requires-service-delivery-from-a-nearshore-country-remote-893763/1,2026-09-17T14:56:16.134753+00:00
14,Python Developer | Germany,hays,Senior PLC Developer (m/f/d),Hays Client,Ludwigsburg,On-site,Contract,"C, Ci/Cd, Python","C#, Senior, Junior, Scrum, Git, R, Scrum Master",English,Senior,,24.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-plc-developer-ludwigsburg-890432/1,2026-09-17T14:56:16.135325+00:00
14,Python Developer | Germany,hays,Software Developer IC-Design methodology (m/f/d),Hays Client,Villach,On-site,Contract,"Ci/Cd, Python","Lead, Architect",English,"Architect, Lead",,29.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-developer-ic-design-methodology-villach-887094/1,2026-09-17T14:56:16.135575+00:00
14,Python Test | Germany,hays,Senior Credit Risk Manager (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,"Data Science, Senior",English,Senior,,07.09.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-credit-risk-manager-baden-wuerttemberg-893171/1,2026-09-17T14:56:42.087715+00:00
14,Python Test | Germany,hays,Senior Data Analyst / Technical Analyst  (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,Senior,German,Senior,,18.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-data-analyst-technical-analyst--duesseldorf-890568/1,2026-09-17T14:56:42.089334+00:00
14,Firmware Engineer | Germany,hays,Senior OT System Engineer (m/w/d),Hays Client,Basel Land,On-site,Contract,Firmware,"R, Senior",German,Senior,,13.08.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-ot-system-engineer-basel-land-890035/1,2026-09-17T14:57:08.731505+00:00
0,Tester | Germany,hays,Systems Engineering & Verification Engineer (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,04.09.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systems-engineering-verification-engineer-berlin-893158/1,2026-09-17T14:53:22.042860+00:00
