relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","Nunit, R, C#, Senior, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-09-17T15:38:30.314315+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deutsch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-09-17T15:38:30.315360+00:00
14,Tester | Germany,ferchau,Softwaretester HiL (m/w/d),FERCHAU,Bremen Deutsch­land,Remote,Full-time,"C, C++, Can, Embedded Systems, Hil, Python","Jira, R, Git, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/517570/softwaretester-hil,2026-09-17T15:38:30.315938+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deutsch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-09-17T15:38:30.316472+00:00
14,Tester | Germany,ferchau,Testmanager (m/w/d) Systemtests,FERCHAU,Bens­heim Deutsch­land,Vor Ort,Full-time,"C, Python","Jira, R, C#, Sql, Expert",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/508819/testmanager-systemtests,2026-09-17T15:38:30.317536+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deutsch­land,Hybrid,Full-time,"Ci/Cd, Java","R, Kanban, Scrum, Cucumber, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-09-17T15:38:38.849558+00:00
14,QA Engineer | Germany,ferchau,Testmanager IT / OT (m/w/d),FERCHAU,Ober­ko­chen Deutsch­land,Hybrid,Full-time,,,English,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/517789/testmanager-it-ot,2026-09-17T15:38:38.853004+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deutsch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-09-17T15:38:59.278891+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Systemintegration & Verifikation Luftfahrt (m/w/d),FERCHAU,Wedel Deutsch­land,Remote,Full-time,,"Matlab, R, Expert, Canoe",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/515752/testingenieur-systemintegration-verifikation-luftfahrt,2026-09-17T15:38:59.280177+00:00
14,Python Developer | Germany,ferchau,Fullstack Developer (m/w/d),FERCHAU,Karls­ruhe Deutsch­land,Hybrid,Full-time,"C, Java, Python","R, Nosql, React, Angular, Vue.Js, C#, Sql, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445282/fullstack-developer,2026-09-17T15:39:18.080701+00:00
14,Python Test | Germany,ferchau,Embedded-Software- und Systemtester (m/w/d),FERCHAU,Gießen Deutsch­land,Remote,Full-time,"C, C++, Embedded Systems, Hil, Python, Sil","R, Scrum, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/348925/embedded-software-und-systemtester,2026-09-17T15:39:28.703442+00:00
14,Firmware Engineer | Germany,ferchau,Systemarchitekt Leistungselektronik (m/w/d),FERCHAU,Detmold Deutsch­land,Hybrid,Full-time,,"System Architect, R, Expert, Aspice",German,"Expert, System Architect",,Recent,https://touch.ferchau.com/de/de/job/513073/systemarchitekt-leistungselektronik,2026-09-17T15:39:38.885852+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deutsch­land,Remote,Full-time,"C, Java, Python","Jira, R, Kanban, Scrum, Azure, Devops, C#, Sql",German,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-09-17T15:38:30.312777+00:00
0,Tester | Germany,ferchau,Software-Tester IT (m/w/d),FERCHAU,Erlangen Deutsch­land,Vor Ort,Full-time,"C, C++, Python","R, Git, Linux",German,,,Recent,https://touch.ferchau.com/de/de/job/515077/software-tester-it,2026-09-17T15:38:30.313578+00:00
0,Tester | Germany,ferchau,PLD/FPGA Hardware-Tester Luft- und Raumfahrt (m/w/d),FERCHAU,Linden­berg im Allgäu Deutsch­land,Vor Ort,Full-time,Python,"R, Fpga",German,,,Recent,https://touch.ferchau.com/de/de/job/520483/pld-fpga-hardware-tester-luft-und-raumfahrt,2026-09-17T15:38:30.314865+00:00
0,Tester | Germany,ferchau,Elektriker (m/w/d),FERCHAU,Marburg Deutsch­land,Vor Ort,Full-time,,R,German,,,Recent,https://touch.ferchau.com/de/de/job/477022/elektriker,2026-09-17T15:38:30.316905+00:00
