relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Python Test | Germany,linkedin,Senior Software Developer Test (m/w/d),Rohde & Schwarz,"Stuttgart, Baden-Württemberg, Germany",On-site,Full-time,"C, C++, Ci/Cd","Senior, Gitlab Ci, R, Gitlab, Jira, Linux, Git",German,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-developer-test-m-w-d-at-rohde-schwarz-4468519132,2026-09-24T14:47:01.480033+00:00
44,Firmware Engineer | Germany,linkedin,"Senior Firmware Engineer, Industrial Robotics Group",Amazon,"Munich, Bavaria, Germany",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-firmware-engineer-industrial-robotics-group-at-amazon-4455799410,2026-09-24T14:47:31.683874+00:00
44,Firmware Engineer | Austria,linkedin,Senior Embedded Crypto Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-crypto-software-developer-m-f-d-at-nxp-semiconductors-4431898495,2026-09-24T14:47:34.620638+00:00
44,Firmware Engineer | Switzerland,linkedin,Senior Embedded Software and Processing Engineer (m/f/d),Thales,"Zurich, Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-software-and-processing-engineer-m-f-d-at-thales-4450725792,2026-09-24T14:47:37.592269+00:00
44,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer – Railway Signaling Systems On-Board,Siemens,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-%E2%80%93-railway-signaling-systems-on-board-at-siemens-4456016516,2026-09-24T14:47:44.078661+00:00
44,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Siemens,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-siemens-4446795747,2026-09-24T14:47:44.078861+00:00
29,Tester | Slovakia,linkedin,Tester s nemeckým jazykom (ž/m),Siemens,"Žilina, Zilina, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/tester-s-nemeck%C3%BDm-jazykom-%C5%BE-m-at-siemens-4423952200,2026-09-24T14:44:27.626513+00:00
29,Tester | Slovakia,linkedin,Test Design Professional for product Velocity,Siemens Healthineers,"Košice, Kosice, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-design-professional-for-product-velocity-at-siemens-healthineers-4455889406,2026-09-24T14:44:27.626676+00:00
29,Tester | Slovakia,linkedin,Test inžinier pre vývoj elektronických systémov (ž/m),Siemens,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,,English,,,Recent,https://sk.linkedin.com/jobs/view/test-in%C5%BEinier-pre-v%C3%BDvoj-elektronick%C3%BDch-syst%C3%A9mov-%C5%BE-m-at-siemens-4445738791,2026-09-24T14:44:27.627325+00:00
29,QA Engineer | USA,linkedin,"Software Quality Assurance Engineer, Fire Tablet Launcher Team",Amazon,"Seattle, WA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-quality-assurance-engineer-fire-tablet-launcher-team-at-amazon-4455906458,2026-09-24T14:45:04.733768+00:00
29,QA Engineer | USA,linkedin,"Quality Assurance Engineer, Prime Video Ads",Prime Video & Amazon MGM Studios,"Seattle, WA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-engineer-prime-video-ads-at-prime-video-amazon-mgm-studios-4469273265,2026-09-24T14:45:04.733953+00:00
29,Test Engineer | USA,linkedin,Test Engineer-Mid,"Cintel, Inc.","Huntsville, AL",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/test-engineer-mid-at-cintel-inc-4462082051,2026-09-24T14:45:31.949311+00:00
29,Firmware Engineer | Austria,linkedin,Embedded Firmware Design Engineer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Full-time,Firmware,,English,,,Recent,https://at.linkedin.com/jobs/view/embedded-firmware-design-engineer-m-f-d-at-nxp-semiconductors-4467045000,2026-09-24T14:47:34.620487+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Engineer II, Ring, Ring",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-engineer-ii-ring-ring-at-amazon-4455780934,2026-09-24T14:47:51.064486+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Dev Engineer, Ring Devices",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-dev-engineer-ring-devices-at-amazon-4455785779,2026-09-24T14:47:51.064811+00:00
14,Tester | Germany,linkedin,Software Tester (all genders),Expleo Group,"Frankfurt am Main, Hesse, Germany",Remote,Internship,"Javascript, Python","R, Associate, Agile",German,Test Manager,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-expleo-group-4457339334,2026-09-24T14:44:13.726265+00:00
14,Tester | Germany,linkedin,Softwaretester (m/w/d),FERCHAU,"Lübeck, Schleswig-Holstein, Germany",Remote,Contract,Test Automation,"Expert, R",German,Expert,,Recent,https://de.linkedin.com/jobs/view/softwaretester-m-w-d-at-ferchau-4438589012,2026-09-24T14:44:13.726431+00:00
14,Tester | Germany,linkedin,Softwaretester (m/w/d),FERCHAU,"Kassel, Hesse, Germany",Remote,Contract,"C, C++, Python, Test Automation","Expert, R, Jira, Confluence",German,Expert,,Recent,https://de.linkedin.com/jobs/view/softwaretester-m-w-d-at-ferchau-4438572800,2026-09-24T14:44:13.727271+00:00
14,Tester | Austria,linkedin,Senior Software Tester (m/w/d),IVM Technical Consultants,"Vienna, Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-tester-m-w-d-at-ivm-technical-consultants-4459937453,2026-09-24T14:44:17.210517+00:00
14,Tester | Austria,linkedin,Senior Game Tester (m/f/d),MERKUR GROUP,"Vienna, Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-game-tester-m-f-d-at-merkur-group-4463362636,2026-09-24T14:44:17.211136+00:00
14,Tester | Switzerland,linkedin,Senior Testingenieur:in,Hays,"Berne, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-testingenieur-in-at-hays-4467045704,2026-09-24T14:44:20.755724+00:00
14,Tester | Switzerland,linkedin,"ICT Test Engineer, Stufe Senior mit >5 Jahre Erfahrung (auch agil)",ALTEN,"Bern, Berne, Switzerland",On-site,Full-time,,Senior,German,Senior,,Recent,https://ch.linkedin.com/jobs/view/ict-test-engineer-stufe-senior-mit-5-jahre-erfahrung-auch-agil-at-alten-4353253328,2026-09-24T14:44:20.756449+00:00
14,Tester | Poland,linkedin,Senior Tester Manualny/Testerka Manualna,BlueSoft,"Lublin, Lubelskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-tester-manualny-testerka-manualna-at-bluesoft-4469125757,2026-09-24T14:44:32.908860+00:00
14,Tester | Poland,linkedin,Senior Manual Tester (f/m/x),Sii Poland,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-tester-f-m-x-at-sii-poland-4469756505,2026-09-24T14:44:32.909034+00:00
14,Tester | USA,linkedin,Software Tester / QA Engineer,Avalore.ai,"Arlington, VA",On-site,Contract,System Testing,"Junior, Senior",English,Senior,,Recent,https://www.linkedin.com/jobs/view/software-tester-qa-engineer-at-avalore-ai-4461265803,2026-09-24T14:44:36.258504+00:00
14,Tester | USA,linkedin,QA Test Technician,Red Cat Holdings,"Salt Lake City, UT",On-site,Contract,Embedded Systems,"Senior, Regression Testing, Entry-Level, Jira, Confluence, Linux",English,Senior,,Recent,https://www.linkedin.com/jobs/view/qa-test-technician-at-red-cat-holdings-4427585343,2026-09-24T14:44:36.258812+00:00
14,QA Engineer | Austria,linkedin,Senior QA Engineer (m/w/d) & Testautomation - Plattformservices,PKE,"Vienna, Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-engineer-m-w-d-testautomation-plattformservices-at-pke-4434643740,2026-09-24T14:44:45.006919+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Automation Engineer,TXT GROUP,"Chiasso, Ticino, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-automation-engineer-at-txt-group-4463260307,2026-09-24T14:44:48.768041+00:00
14,QA Engineer | Switzerland,linkedin,Test Automation Engineer / Testingenieur (M/W),Expleo Group,"Bern, Berne, Switzerland",On-site,Full-time,"Ci/Cd, Java, Jenkins, Playwright, Python, Robot Framework, Selenium, Test Automation","Senior, Gitlab Ci, Cypress, Sql, Cucumber, R, Agile, Gitlab, Splunk, Jira",German,Senior,,Recent,https://ch.linkedin.com/jobs/view/test-automation-engineer-testingenieur-m-w-at-expleo-group-4425699516,2026-09-24T14:44:48.768843+00:00
14,QA Engineer | Slovakia,linkedin,Senior Quality Engineer,Swiss Re,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-engineer-at-swiss-re-4465789396,2026-09-24T14:44:54.023269+00:00
14,QA Engineer | Slovakia,linkedin,Senior Software Engineer in Test,SentinelOne,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-in-test-at-sentinelone-4457700912,2026-09-24T14:44:54.024373+00:00
14,QA Engineer | Poland,linkedin,Senior Software Quality Engineer,Diebold Nixdorf,"Katowice, Śląskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-quality-engineer-at-diebold-nixdorf-4433113302,2026-09-24T14:45:01.077937+00:00
14,QA Engineer | Poland,linkedin,Full-stack QA Engineer (Loyalty),Comarch,"Lublin, Lubelskie, Poland",Remote,Full-time,"Java, Playwright","Gitlab, Rest Api, Kubernetes, Postman, Jira, Sql, Lead",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/full-stack-qa-engineer-loyalty-at-comarch-4459011619,2026-09-24T14:45:01.078299+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer - .NET / Test Automation,Billennium,"Wrocław, Dolnośląskie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-net-test-automation-at-billennium-4467094959,2026-09-24T14:45:01.079063+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer - .NET / Test Automation,Billennium,Warsaw Metropolitan Area,On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-net-test-automation-at-billennium-4467202151,2026-09-24T14:45:01.079376+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,Arcadis,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-arcadis-4432799090,2026-09-24T14:45:08.207211+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA/Test Engineer,iO Associates,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-test-engineer-at-io-associates-4462762886,2026-09-24T14:45:08.207697+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Test Engineer,Client Server,"Bracknell, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-test-engineer-at-client-server-4468614576,2026-09-24T14:45:08.208037+00:00
14,Test Engineer | Germany,linkedin,(Senior) Test Engineer (m/w/d),HAT.tec,"Neubiberg, Bavaria, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-engineer-m-w-d-at-hat-tec-4468910045,2026-09-24T14:45:11.697177+00:00
