relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager / Test System Manager with experience GEVER / Acta Nova (22179 / 70-100%) NEW,GULP Client,"Location: Bern, Biel, Ittigen",Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab13bf240b5a3a29fd19e8c,2026-09-24T15:21:47.185143+00:00
14,QA Engineer | Germany,gulp,"Senior SoftwareEngineerAWS, CDK, Java, Spring (f/m/d)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Java,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01341584,2026-09-24T15:22:36.431231+00:00
14,QA Engineer | Germany,gulp,Senior SAP EAM / Plant Maintenance Consultant (all genders) - on-site in Stockholm (Sweden),GULP Client,Location: Stockholm (Sweden),On-site,Freelance,,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab52883e5eeaf46d05c145f,2026-09-24T15:22:36.431753+00:00
14,QA Engineer | Germany,gulp,Embedded Software Architect (56372) NEW,GULP Client,Location: Fauenfeld,On-site,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab5226140b5a3a29fe3de07,2026-09-24T15:22:36.432254+00:00
14,QA Engineer | Germany,gulp,1083712 Consultant/Test Management,GULP Client,Location: Essen,On-site,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab4dc1040b5a3a29fe3ae11,2026-09-24T15:22:36.432507+00:00
14,QA Engineer | Germany,gulp,1083700 Senior Electrical Planner / Electrical Designer,GULP Client,Germany,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab3d0e340b5a3a29fd524ec,2026-09-24T15:22:36.434082+00:00
14,Test Automation | Germany,gulp,1083615 Lead Software Developer – VBA Modernization & Migration,GULP Client,Location: Remote,Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab12de7239ca7551a355e83,2026-09-24T15:25:08.985586+00:00
14,Test Automation | Germany,gulp,Senior Test Lead – SAP SuccessFactors (m/f/d) – 100% Remote,GULP Client,Location: Bonn,Remote,Freelance,,"Senior, Lead",English,"Lead, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01339294,2026-09-24T15:25:08.985814+00:00
14,Test Automation | Germany,gulp,Test Architect GIS Migration (m/f/d) - 95% remote,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01339073,2026-09-24T15:25:08.986094+00:00
14,Test Automation | Germany,gulp,1083529 Senior Labgrid Developer /Test Automation,GULP Client,"Location: 90% Remote, 10% Vor-Ort",Remote,Freelance,Test Automation,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6aabf5f3157cf169e4936794,2026-09-24T15:25:08.986426+00:00
14,Test Automation | Germany,gulp,Senior Endur Integration & Software Engineer (m/f/d),GULP Client,"Location: Karlsruhe, Baden",Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01338238,2026-09-24T15:25:08.986718+00:00
14,Test Automation | Germany,gulp,Senior Software Engineer C# / .NET (m/f/d),GULP Client,Location: Mannheim,Remote,Freelance,C,"C#, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01333065,2026-09-24T15:25:08.987844+00:00
14,Python Developer | Germany,gulp,1083735 Senior SAP Basis Consultant / SAP Basis Administrator S4 Hana Greenfield,GULP Client,Location: Essen,On-site,Freelance,,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6ab5145f40b5a3a29fe3d395,2026-09-24T15:25:58.523043+00:00
