relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
0,Test Engineer | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,,"Scrum, R, Intern, Kanban",German,,,Recent,https://touch.ferchau.com/de/de/job/495223/system-test-engineer,2026-02-25T12:10:57.937481+00:00
0,Test Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,"Jenkins, Pytest","R, Linux",German,,,Recent,https://touch.ferchau.com/de/de/job/495214/software-test-engineer,2026-02-25T12:10:57.940814+00:00
0,Test Engineer | Germany,ferchau,Test System Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,,"Matlab, R",German,,,Recent,https://touch.ferchau.com/de/de/job/479755/test-system-engineer,2026-02-25T12:10:57.946767+00:00
0,Test Engineer | Germany,ferchau,System Engineer - Radar (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,,R,German,,,Recent,https://touch.ferchau.com/de/de/job/495193/system-engineer-radar,2026-02-25T12:10:57.947894+00:00
0,Test Automation | Germany,ferchau,Techniker (m/w/d) Gebäudeautomation,FERCHAU,Schwaz Öster­reich,Vor Ort,Full-time,,R,German,,,Recent,https://touch.ferchau.com/de/de/job/495199/techniker-gebaeudeautomation,2026-02-25T12:11:15.505161+00:00
0,Firmware Engineer | Germany,ferchau,FPGA-Spezialist für anspruchsvolle Hightech‑Entwicklungen (m/w/d) in Direktvermittlung,FERCHAU,Böblingen Deut­sch­land,Hybrid,Full-time,"Go, I2C, Spi, Uart","R, Vhdl, Fpga",German,,,Recent,https://touch.ferchau.com/de/de/job/495178/fpga-spezialist-fuer-anspruchsvolle-hightech-entwicklungen-in-direktvermittlung,2026-02-25T12:11:45.887197+00:00
14,Testingenieur | Germany,freelance_de,Senior Systems Engineer (m/w/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1256235-Senior-Systems-Engineer-m-w-d,2026-02-27T11:44:16.318534+00:00
14,Python Developer | Germany,freelance_de,Senior Softwaretester (Python) - asap - 7 Monate,Freelance.de Client,Germany/Remote,Remote,Freelance,Python,Senior,English,Senior,,Recent,https://www.freelance.de/projekte/projekt-1256352-Senior-Softwaretester-Python-asap-7-Monate,2026-02-27T11:46:04.958914+00:00
0,Tester | Germany,freelance_de,Agiler Tester (m/w/d) in Kiel,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1256300-Agiler-Tester-m-w-d-in-Kiel,2026-02-27T11:41:35.638292+00:00
0,QA Engineer | Germany,freelance_de,QA Batch Record Reviewer,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1256251-QA-Batch-Record-Reviewer,2026-02-27T11:42:29.331972+00:00
0,QA Engineer | Germany,freelance_de,QA Specialist / Quality Operations (m/w/d) – Aseptische Sterilproduktion,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1256266-QA-Specialist-Quality-Operations-m-w-d-Aseptische-Sterilproduktion,2026-02-27T11:42:29.332366+00:00
0,QA Engineer | Germany,freelance_de,Test Engineer,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1256540-Test-Engineer,2026-02-27T11:42:29.333598+00:00
0,Testingenieur | Germany,freelance_de,Unterstützung im Bereich Bauleitung ELT gesucht,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1256200-Unterstuetzung-im-Bereich-Bauleitung-ELT-gesucht,2026-02-27T11:44:16.319806+00:00
0,Testingenieur | Germany,freelance_de,Operativer/Strategischer Einkauf (m/w/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1251610-Operativer-Strategischer-Einkauf-m-w-d,2026-02-27T11:44:16.320009+00:00
0,Testingenieur | Austria,freelance_de,Freelance Mechanischer Konstrukteur (m/w/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1251979-Freelance-Mechanischer-Konstrukteur-m-w-d,2026-02-27T11:44:33.751532+00:00
0,Testingenieur | Remote,freelance_de,Tester:in per Remote,Freelance.de Client,Germany/Remote,Remote,Freelance,,,English,,,Recent,https://www.freelance.de/projekte/projekt-1256698-Tester-in-per-Remote,2026-02-27T11:44:52.516239+00:00
0,Python Developer | Germany,freelance_de,FREELANCE // Data Scientist // Python / PyTorch // Langläufer // Sinnstiftende Tätigkeit,Freelance.de Client,Germany/Remote,Remote,Freelance,Python,Pytorch,English,,,Recent,https://www.freelance.de/projekte/projekt-1256382-FREELANCE-Data-Scientist-Python-PyTorch-Langlaeufer-Sinnstiftende-Taetigkeit,2026-02-27T11:46:04.959120+00:00
