relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kassel Deut­sch­land,Hybrid,Full-time,"C, C++, Python","R, Jira, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/481993/softwaretester,2026-03-05T11:59:57.794854+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d),FERCHAU,Kassel Deut­sch­land,Remote,Full-time,"C, C++, Python","R, Senior, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/496582/senior-softwaretester,2026-03-05T11:59:57.795508+00:00
14,Test Automation | Germany,ferchau,Testmanager HR‑IT / Testautomatisierung (m/w/d),FERCHAU,Münster Deut­sch­land,Remote,Full-time,Test Automation,"Oracle, Jira, R",German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/496666/testmanager-hr-it-testautomatisierung,2026-03-05T12:00:36.132915+00:00
14,Firmware Engineer | Germany,ferchau,Development Engineer Firmware Optronics (m/w/d),FERCHAU,Schro­ben­hausen Deut­sch­land,Remote,Full-time,"C, Firmware","Fpga, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/496348/development-engineer-firmware-optronics,2026-03-05T12:01:04.947633+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d) Embedded Systeme,FERCHAU,Waid­hofen an der Ybbs Öster­reich,Hybrid,Full-time,,,German,,,Recent,https://touch.ferchau.com/de/de/job/471556/softwaretester-embedded-systeme,2026-03-05T11:59:57.796122+00:00
0,Test Engineer | Germany,ferchau,Applikationsengineer (m/w/d),FERCHAU,Salz­bergen Deut­sch­land,Vor Ort,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/474325/applikationsengineer,2026-03-05T12:00:16.490138+00:00
0,Testingenieur | Germany,ferchau,Softwaretestingenieur Safety (m/w/d),FERCHAU,Kress­bronn am Bodensee Deut­sch­land,Vor Ort,Full-time,"C, C++","R, Iso 26262",German,,,Recent,https://touch.ferchau.com/de/de/job/496636/softwaretestingenieur-safety,2026-03-05T12:00:26.082470+00:00
0,Firmware Engineer | Germany,ferchau,Teamleiter Cloud & Infrastruktur (m/w/d),FERCHAU,Velbert Deut­sch­land,Remote,Full-time,,Team Lead,English,,,Recent,https://touch.ferchau.com/de/de/job/496555/teamleiter-cloud-infrastruktur,2026-03-05T12:01:04.953194+00:00
14,Testingenieur | Austria,freelance_de,Freelance Consultant Methodenvalidierung UV-VIS (w/m/d),Freelance.de Client,Germany/Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.freelance.de/projekte/projekt-1257685-Freelance-Consultant-Methodenvalidierung-UV-VIS-w-m-d,2026-03-05T11:46:35.750358+00:00
14,Python Developer | Germany,freelance_de,Python Expert (m/w/d),Freelance.de Client,Germany/Remote,Remote,Freelance,Python,Expert,English,Expert,,Recent,https://www.freelance.de/projekte/projekt-1257906-Python-Expert-m-w-d,2026-03-05T11:48:05.132429+00:00
